# Intensity Error [0,K,0] DeltaE [0,0,L] [H,0,0]
#  shape: 160x80x1x1
nan nan -1.912500e+00 2.975000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.025000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.075000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.125000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.175000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.225000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.275000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.325000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.375000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.425000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.475000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.525000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.575000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.625000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.675000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.725000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.775000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.825000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.875000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.925000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 3.975000e+00 0.000000e+00 0.000000e+00
3.832982e-02 6.577950e-04 -1.887500e+00 2.500000e-02 0.000000e+00 0.000000e+00
4.012463e-02 6.331613e-04 -1.887500e+00 7.500000e-02 0.000000e+00 0.000000e+00
2.371310e-02 4.826583e-04 -1.887500e+00 1.250000e-01 0.000000e+00 0.000000e+00
9.248954e-03 2.903866e-04 -1.887500e+00 1.750000e-01 0.000000e+00 0.000000e+00
5.087652e-03 2.401772e-04 -1.887500e+00 2.250000e-01 0.000000e+00 0.000000e+00
3.250670e-03 1.956791e-04 -1.887500e+00 2.750000e-01 0.000000e+00 0.000000e+00
2.145907e-03 1.754301e-04 -1.887500e+00 3.250000e-01 0.000000e+00 0.000000e+00
1.514128e-03 1.535516e-04 -1.887500e+00 3.750000e-01 0.000000e+00 0.000000e+00
1.603663e-03 1.670629e-04 -1.887500e+00 4.250000e-01 0.000000e+00 0.000000e+00
1.121667e-03 1.528489e-04 -1.887500e+00 4.750000e-01 0.000000e+00 0.000000e+00
4.967972e-04 9.705575e-05 -1.887500e+00 5.250000e-01 0.000000e+00 0.000000e+00
3.445639e-04 9.451401e-05 -1.887500e+00 5.750000e-01 0.000000e+00 0.000000e+00
1.139395e-04 2.618021e-05 -1.887500e+00 6.250000e-01 0.000000e+00 0.000000e+00
7.873693e-05 2.452364e-05 -1.887500e+00 6.750000e-01 0.000000e+00 0.000000e+00
1.495441e-04 1.010200e-04 -1.887500e+00 7.250000e-01 0.000000e+00 0.000000e+00
3.422711e-05 3.670130e-05 -1.887500e+00 7.750000e-01 0.000000e+00 0.000000e+00
3.815656e-05 3.321356e-05 -1.887500e+00 8.250000e-01 0.000000e+00 0.000000e+00
-5.986135e-05 6.309517e-05 -1.887500e+00 8.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.887500e+00 9.250000e-01 0.000000e+00 0.000000e+00
nan nan -1.887500e+00 9.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.887500e+00 1.025000e+00 0.000000e+00 0.000000e+00
nan nan -1.887500e+00 1.075000e+00 0.000000e+00 0.000000e+00
nan nan -1.887500e+00 1.125000e+00 0.000000e+00 0.000000e+00
nan nan -1.887500e+00 1.175000e+00 0.000000e+00 0.000000e+00
nan nan -1.887500e+00 1.225000e+00 0.000000e+00 0.000000e+00
nan nan -1.887500e+00 1.275000e+00 0.000000e+00 0.000000e+00
nan nan -1.887500e+00 1.325000e+00 0.000000e+00 0.000000e+00
nan nan -1.887500e+00 1.375000e+00 0.000000e+00 0.000000e+00
nan nan -1.887500e+00 1.425000e+00 0.000000e+00 0.000000e+00
nan nan -1.887500e+00 1.475000e+00 0.000000e+00 0.000000e+00
nan nan -1.887500e+00 1.525000e+00 0.000000e+00 0.000000e+00
